FSA,lat_coord,lon_coord
K0A,45.2915,-75.7836
K0B,45.4977,-74.7699
K0C,45.1691,-74.8881
K0E,44.7119,-75.7613
K0G,44.9122,-76.1745
K0H,44.7305,-76.8619
K0J,45.6027,-77.4528
K0K,44.3117,-77.4138
K0L,44.7727,-78.0044
K0M,44.9418,-78.6723
K1A,45.4434,-75.6193
K1B,45.4174,-75.601
K1C,45.4679,-75.5399
K1E,45.4776,-75.5043
K1G,45.3484,-75.5903
K1H,45.3883,-75.6599
K1J,45.4516,-75.6049
K1K,45.446,-75.6477
K1L,45.4391,-75.6632
K1M,45.4459,-75.6826
K1N,45.429,-75.6849
K1P,45.4208,-75.6951
K1R,45.4144,-75.7096
K1S,45.4012,-75.6872
K1T,45.3268,-75.6298
K1V,45.3312,-75.6731
K1W,45.4356,-75.5119
K1X,45.2688,-75.6404
K1Y,45.4028,-75.7339
K1Z,45.3855,-75.7427
K2A,45.3806,-75.7633
K2B,45.3649,-75.7932
K2C,45.3689,-75.7297
K2E,45.3443,-75.7153
K2G,45.3187,-75.734
K2H,45.3511,-75.8375
K2J,45.2624,-75.7456
K2K,45.336,-75.9147
K2L,45.302,-75.8889
K2M,45.2848,-75.8605
K2P,45.4154,-75.6902
K2R,45.3143,-75.8263
K2S,45.2367,-75.9206
K2T,45.3129,-75.9328
K2V,45.2796,-75.8903
K2W,45.3793,-75.969
K4A,45.4856,-75.4567
K4B,45.4,-75.3869
K4C,45.5008,-75.4057
K4K,45.547,-75.2559
K4M,45.1806,-75.6391
K4P,45.2336,-75.5833
K4R,45.2487,-75.3487
K6A,45.5713,-74.5647
K6H,45.047,-74.6556
K6J,45.0307,-74.7762
K6K,45.0653,-74.7338
K6T,44.6541,-75.7627
K6V,44.6502,-75.7302
K7A,44.9616,-76.0266
K7C,45.1021,-76.1477
K7G,44.3493,-76.2079
K7H,44.8773,-76.2937
K7K,44.2577,-76.4746
K7L,44.2985,-76.4069
K7M,44.2398,-76.5665
K7N,44.2229,-76.6532
K7P,44.2691,-76.6098
K7R,44.2261,-76.9481
K7S,45.4245,-76.4202
K7V,45.451,-76.7442
K8A,45.7444,-77.2268
K8B,45.7983,-77.0723
K8H,45.8974,-77.3186
K8N,44.1695,-77.3855
K8P,44.1649,-77.4073
K8R,44.1398,-77.457
K8V,44.1193,-77.6083
K9A,44.005,-78.1854
K9H,44.3253,-78.3201
K9J,44.298,-78.3049
K9K,44.2789,-78.3642
K9L,44.3523,-78.3075
K9V,44.3719,-78.6993
L0A,44.1353,-78.5222
L0B,44.0711,-78.7563
L0C,44.1818,-79.0687
L0E,44.3011,-79.251
L0G,44.06,-79.6552
L0H,43.9068,-79.1
L0J,43.873,-79.6283
L0L,44.4445,-79.723
L0M,44.3314,-80.0264
L0N,43.919,-80.0385
L0P,43.5232,-80.0011
L0R,43.1374,-79.7296
L0S,43.0224,-79.2183
L1A,43.9932,-78.3754
L1B,43.9209,-78.5392
L1C,43.9601,-78.7129
L1E,43.9203,-78.7932
L1G,43.9246,-78.8738
